Disease_Trait,Diversity_Trait,Filtered_column,Filtered_Value,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_dis,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.891220206,0.000830711,-0.042611432,3.918733665,0.900584471342476 + 2.38677245725519 - -1.53322754274481,"lambda=1,delta=1,kappa=1",NA,19.41330769,19.95876223,,
perc_dis,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.514413004,0.018709886,-0.023954902,0.002353294501485 + 1.96355365699513 - -1.95644634300487,0.881414543662275 + 1.98413616954803 - -1.93586383045197,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.33813472397798,-45.15055792,-44.60510337,,
perc_dis,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.914476087,0.000512344,-0.042943641,3.919046723,0.900556472876742 + 2.14486339497805 - -1.77513660502195,"lambda=l,delta=ML,kappa=1",3 -/+ 1.92952149857417,11.38462055,11.93007509,,
perc_dis,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.764497652,0.00397985,-0.039325374,0.00107574213236458 + 1.96354850117588 - -1.95645149882412,0.890914449520658 + 2.03743786629658 - -1.88256213370342,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.146067655910049,-31.73707393,-31.19161939,Model_3l_AIC,Model_3l_AICc
perc_bbd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.839706549,0.001816236,-0.041583058,0.056660562667117 + 2.23697214223376 - -1.68302785776624,0.885940536505597 + 2.38656801576042 - -1.53343198423958,"lambda=1,delta=1,kappa=1",NA,19.38863691,19.93409145,,
perc_bbd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.157680603,0.084870185,0.045081932,0.100374534158298 + 2.0287263694983 - -1.8912736305017,0.876420189327494 + 1.98090959189838 - -1.93909040810162,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.281875336428593,-46.89561341,-46.35015886,,
perc_bbd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.808673529,0.00260176,-0.040763381,0.0615643299421048 + 2.21134249095122 - -1.70865750904878,0.885586796673369 + 2.14526740299913 - -1.77473259700087,"lambda=l,delta=ML,kappa=1",3 -/+ 1.93343619232687,11.33230368,11.87775823,,
perc_bbd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.477905209,0.022129022,-0.020387107,0.055576088654461 + 2.03703422660944 - -1.88296577339056,0.890584409721769 + 2.03511443343211 - -1.88488556656789,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.145037895966967,-32.19681771,-31.65136317,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.633322772,0.010061105,-0.032979717,0.0466566448724696 + 2.05650080609334 - -1.86349919390666,0.877805041224808 + 2.38410508974356 - -1.53589491025644,"lambda=1,delta=1,kappa=1",NA,19.18128259,19.72673713,,
perc_wd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.121505731,0.101044545,0.061959525,0.0460981568306444 + 1.98867030365695 - -1.93132969634305,0.869428223898068 + 1.98264491522565 - -1.93735508477435,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.354078953018515,-47.34142455,-46.79597001,,
perc_wd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.60819952,0.011609182,-0.031364331,0.0468608947000707 + 2.05015922976596 - -1.86984077023404,0.877552132107488 + 2.14289472580904 - -1.77710527419096,"lambda=l,delta=ML,kappa=1",3 -/+ 1.93598698976573,11.10550507,11.65095961,,
perc_wd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.154994447,0.085929117,0.046186905,0.0470373756143122 + 1.99198887216522 - -1.92801112783478,0.885905496949666 + 2.03256435443936 - -1.88743564556064,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.13657755285169,-33.8835581,-33.33810356,Model_3l_AIC,Model_3l_AICc
perc_dis,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.128650041,0.297679861,0.197348412,4.12446337020338 + 4.35448028183677 - 0.434480281836773,136.969413354426 + 81.2823696964948 - 77.3623696964948,"lambda=1,delta=1,kappa=1",NA,105.5634073,107.5634073,,
perc_dis,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.121505731,0.101044545,0.061959525,0.0460981568306444 + 1.98867030365695 - -1.93132969634305,0.869428223898068 + 1.98264491522565 - -1.93735508477435,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.354078953018515,-47.34142455,-46.79597001,,
perc_dis,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.190464503,0.230867992,0.120991991,3.86284353580556 + 4.62487398597687 - 0.704873985976874,136.250212754752 + 51.7067056283301 - 47.7867056283301,"lambda=l,delta=ML,kappa=1",3 -/+ 0.283984051710393,104.1662508,106.1662508,,
perc_dis,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.152309162,0.269252659,0.164860182,3.97129636541084 + 4.4327880874171 - 0.512788087417099,138.573253044681 + 77.3707237616422 - 73.4507237616422,"lambda=1,delta=1,kappa=ML",0.889238490261226 -/+ 2.49873408199296,105.5399752,107.5399752,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.817080082,0.008172894,-0.133516692,6.56156402044119 + 29.2804843159617 - 25.3604843159617,168.566683344182 + 93.8661384689505 - 89.9461384689505,"lambda=1,delta=1,kappa=1",NA,108.6698425,110.6698425,,
perc_wd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.959260633,0.000400182,-0.142399792,1.93401753439426 + 38.4938522443612 - 34.5738522443611,139.55271639148 + 37.9706998515107 - 34.0506998515107,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,107.4827498,109.4827498,,
perc_wd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.847362695,0.00566712,-0.136380435,5.80789445481322 + 31.0373216544534 - 27.1173216544534,165.690704545022 + 54.1532622254825 - 50.2332622254825,"lambda=l,delta=ML,kappa=1",3 -/+ 0.479577467199793,106.4775356,108.4775356,,
perc_wd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.907698333,0.002059917,-0.140502952,0.297082763,172.824844355251 + 58.4093396088663 - 54.4893396088663,"lambda=1,delta=1,kappa=ML",0.149732191896138 -/+ 1.53315012490607,107.1747636,109.1747636,Model_3d_AIC,Model_3d_AICc
perc_bbd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.730334896,0.018057237,-0.1222203,-51.9771935,174.721180827018 + 93.3028264574217 - 89.3828264574217,"lambda=1,delta=1,kappa=1",NA,108.5797004,110.5797004,,
perc_bbd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.398726632,0.103421216,-0.024661467,-177.8453905,153.848350940298 + 32.8332454943105 - 28.9132454943105,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,106.5038302,108.5038302,,
perc_bbd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.635944929,0.033782887,-0.104248129,-77.62294049,173.603714752394 + 53.1720931047755 - 49.2520931047755,"lambda=l,delta=ML,kappa=1",3 -/+ 0.524832034924892,106.2193844,108.2193844,,
perc_bbd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.479778354,0.073707182,-0.058620364,-121.1416213,180.765418641876 + 54.2984013731426 - 50.3784013731426,"lambda=1,delta=1,kappa=ML",0.0363622149909927 -/+ 1.39159127001783,106.5521014,108.5521014,Model_3d_AIC,Model_3d_AICc
perc_dis,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.068198829,0.398634481,0.312725121,0.0135589744895184 + 1.96629447704607 - -1.95370552295393,0.194207635274108 + 2.16851824885846 - -1.75148175114154,"lambda=1,delta=1,kappa=1",NA,-1.379072821,0.620927179,,
perc_dis,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.1258328,0.301365791,0.201560904,0.0110233769883932 + 1.96634371389539 - -1.95365628610461,0.258941046456474 + 2.02567558383993 - -1.89432441616007,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.776268316332774,-8.903363063,-6.903363063,,
perc_dis,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.073966776,0.386305288,0.298634615,0.0132055880583944 + 1.96629099861783 - -1.95370900138217,0.203462726202434 + 2.07743761918817 - -1.84256238081183,"lambda=l,delta=ML,kappa=1",3 -/+ 0.834161808218504,-4.712009298,-2.712009298,,
perc_dis,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.073371296,0.387540927,0.300046774,0.0123960058534286 + 1.96588996212404 - -1.95411003787596,0.201585909182133 + 2.06965414717293 - -1.85034585282707,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.942671987056144,-5.514986019,-3.514986019,Model_3l_AIC,Model_3l_AICc
perc_bbd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.100170282,0.338689598,0.244216683,0.687720494573149 + 2.32321576881294 - -1.59678423118706,0.263023789766878 + 2.1729515105978 - -1.7470484894022,"lambda=1,delta=1,kappa=1",NA,-0.523889304,1.476110696,,
perc_bbd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.152668695,0.268851847,0.164402111,0.545316271972242 + 2.29989565949596 - -1.62010434050404,0.303186084085971 + 2.01187717547773 - -1.90812282452227,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.71331047995696,-8.49396376,-6.49396376,,
perc_bbd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.100551519,0.338078114,0.243517845,0.681732004820118 + 2.3205450227479 - -1.5994549772521,0.266823387796505 + 2.07202261296157 - -1.84797738703843,"lambda=l,delta=ML,kappa=1",3 -/+ 0.890777663356428,-4.031159674,-2.031159674,,
perc_bbd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.067396106,0.400417272,0.314762597,0.71220849218955 + 2.28940203923929 - -1.63059796076071,0.247891458276516 + 2.06083093558314 - -1.85916906441686,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.770553450555511,-5.706219463,-3.706219463,Model_3l_AIC,Model_3l_AICc
perc_wd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.071444898,0.391595426,0.304680487,3.790971716,0.357942603165396 + 2.16448876719423 - -1.75551123280577,"lambda=1,delta=1,kappa=1",NA,-1.274338519,0.725661481,,
perc_wd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.211547506,0.21263517,0.10015448,3.837046536,0.391986285873991 + 2.01946919431501 - -1.90053080568499,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.85924573445193,-7.827283359,-5.827283359,,
perc_wd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.086445366,0.362128601,0.271004116,3.797302391,0.364268318173061 + 2.07047964526633 - -1.84952035473367,"lambda=l,delta=ML,kappa=1",3 -/+ 0.756235271443057,-4.364257392,-2.364257392,,
perc_wd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.104133719,0.332426427,0.237058774,3.805628108,0.341102239693756 + 2.06514925122923 - -1.85485074877077,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.07820417129141,-4.73947865,-2.73947865,Model_3l_AIC,Model_3l_AICc
perc_dis,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.013987157,0.601956851,0.545093544,3.914081284,0.972269693205709 + 2.02026224487889 - -1.89973775512111,"lambda=1,delta=1,kappa=1",NA,-23.72284678,-21.72284678,,
perc_dis,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.265777373,0.172827947,0.05466051,3.916635575,0.952769529305639 + 1.98880136883142 - -1.93119863116858,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-23.74084065,-21.74084065,,
perc_dis,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.035263507,0.491882792,0.419294619,3.914602198,0.967888305845685 + 2.00030234619618 - -1.91969765380382,"lambda=l,delta=ML,kappa=1",2.75037280621066 -/+ 0.158780930630331,-24.42164741,-22.42164741,,
perc_dis,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.005094997,0.697183547,0.653924054,3.913745531,0.974677789682596 + 2.02833251207464 - -1.89166748792536,"lambda=1,delta=1,kappa=ML",1.34947475328949 -/+ 2.21298947650326,-24.36022011,-22.36022011,Model_3d_AIC,Model_3d_AICc
perc_bbd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.697739353,0.022868757,-0.11672142,3.856519879,0.927211548241052 + 2.05195173315639 - -1.86804826684361,"lambda=1,delta=1,kappa=1",NA,-15.64030173,-13.64030173,,
perc_bbd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.81002045,0.008825508,-0.132770848,0.0398196995349855 + 2.11949760541961 - -1.80050239458039,0.924349863699785 + 1.98434360378976 - -1.93565639621024,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.772461502983806,-22.11293976,-20.11293976,,
perc_bbd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.770943461,0.012917274,-0.128094545,3.871670026,0.926553216514802 + 2.0096140962619 - -1.9103859037381,"lambda=l,delta=ML,kappa=1",3 -/+ 0.740743794427959,-18.69082336,-16.69082336,,
perc_bbd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.842364428,0.006048187,-0.13594493,3.885959458,0.92785317665154 + 2.01618728324209 - -1.90381271675791,"lambda=1,delta=1,kappa=ML",0.187241482219242 -/+ 1.35826856043962,-17.68333276,-15.68333276,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.200961296,0.221563073,0.110357798,0.0344762664229694 + 1.98442498088716 - -1.93557501911284,0.909480355139982 + 2.04216566183657 - -1.87783433816343,"lambda=1,delta=1,kappa=1",NA,-17.68629878,-15.68629878,,
perc_wd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.454173567,0.082304165,-0.04879524,0.0208000349966406 + 1.98625146345315 - -1.93374853654685,0.914851662315079 + 1.98587555138592 - -1.93412444861408,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.91731216868005,-22.80616111,-20.80616111,,
perc_wd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.233524352,0.195403279,0.080460891,0.0326886202121288 + 1.98507094906644 - -1.93492905093356,0.909520747753756 + 2.00500189647508 - -1.91499810352492,"lambda=l,delta=ML,kappa=1",3 -/+ 0.675695158909112,-20.53053737,-18.53053737,,
perc_wd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.214417789,0.21028835,0.0974724,0.0349706635906759 + 1.98561424265937 - -1.93438575734063,0.912144962488577 + 2.01234539509974 - -1.90765460490026,"lambda=1,delta=1,kappa=ML",0.290916650355815 -/+ 1.310293759987,-19.69647814,-17.69647814,Model_3l_AIC,Model_3l_AICc
perc_dis,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.872366535,0.016290301,-0.475564548,-1.852051183,243.73492920805 + 65.6772661019641 - 61.7572661019641,"lambda=1,delta=1,kappa=1",NA,45.82210194,57.82210194,,
perc_dis,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.799610421,0.040155984,-0.439766025,12.4975019330886 + 45.1649405601126 - 41.2449405601126,239.754042719041 + 33.155768832715 - 29.235768832715,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,42.91701349,54.91701349,,
perc_dis,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.93577702,0.004124591,-0.493813113,0.895039816,242.267005335816 + 43.5661103143322 - 39.6461103143322,"lambda=l,delta=ML,kappa=1",3 -/+ 0.335725991553727,44.02520271,56.02520271,,
perc_dis,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.65952483,0.067657884,-0.398513174,18.2109664756942 + 37.521290575204 - 33.601290575204,246.069082953448 + 43.9257008630454 - 40.0057008630454,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.57748747324156,43.48624745,55.48624745,Model_3l_AIC,Model_3l_AICc
perc_bbd,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.866464323,0.017831777,-0.473252335,-44.82666923,241.349291763812 + 63.0670070047739 - 59.1470070047739,"lambda=1,delta=1,kappa=1",NA,45.81582901,57.81582901,,
